Molecule	MolecularFormula
(-)-beta-selinene	C15H24
(-)-Blebbistatin	C18H16N2O2
(-)-Carbovir	C11H13N5O2
(-)-Dicentrine	C20H21NO4
(-)-Epiafzelechin	C15H14O5
(-)-Epicatechin gallate	C22H18O10
(-)-Epigallocatechin	C15H14O7
(-)-Epigallocatechin gallate	C22H18O11
(-)-Germacrene D	C15H24
(-)-Indolactam V	C17H23N3O2
(-)-kurarinone	C26H30O6
(-)-Menthone	C10H18O
(-)-Norephedrine	C9H13NO
(-)-Rapamycin	C51H79NO13
(.+/-.)-Fenchone	C10H16O
"((4-Hydroxy-3,5-dimethylphenyl)methylene)propanedinitrile"	C12H10N2O
((m-Chlorophenyl)azo)malononitrile	C9H5ClN4
(+)-3-Methoxymorphinan	C17H23NO
(+)-5-epi-aristolochene	C15H24
(+)-Ajmaline	C20H26N2O2
(+)-Aspidospermidine	C19H26N2
(+)-Bicuculline	C20H17NO6
(+)-catechin	C15H14O6
(+)-delta-Cadinene	C15H24
(+)-gamma-cadinene	C15H24
(+)-germacrene A	C15H24
(+)-Lactose	C12H22O11
(+)-Oxypeucedanin	C16H14O5
(+)-pisatin	C17H14O6
(+)-Pulegone	C10H16O
(+)-trans-Chrysanthemic acid	C10H16O2
(+/-) taxifolin	C15H12O7
(+/-)-6-Hydroxy-3-oxo-alpha-ionol	C13H20O3
(+/-)-Dihydromethysticin	C15H16O5
"(1,1-dimethylpiperidin-1-ium-4-yl) octadecyl hydrogen phosphate"	C25H53NO4P
"(1,2-Dihydroxyethyl)oxirane"	C4H8O3
(11c)methane	CH4
"(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one"	C21H20O6
"(1R,2S)-1,2-Dihydronaphthalene-1,2-diol"	C10H10O2
"(1r,2s)-2-aminocyclopentanecarboxylic acid"	C6H11NO2
"(1S,3R)-ACPD"	C7H11NO4
"(2-Amino-2,3-Dihydro-1h-Inden-2-Yl)phosphonic Acid"	C9H12NO3P
(2-Aminoethyl)phosphonic acid	C2H8NO3P
(2-Carboxyethyl)dimethylsulfonium	C5H11O2S
(2-Hydroxyethyl)trimethylammonium bromide benzilate	C19H24NO3
(2-Methoxyethoxy)benzene	C9H12O2
(2~{S})-2-azanylpropanal	C3H7NO
