bcr_patient_barcode,TotalLeukocyte
TCGA-OR-A5J1,0.04637391
TCGA-OR-A5J2,0.057858686
TCGA-OR-A5J3,0.048460325
TCGA-OR-A5J4,NA
TCGA-OR-A5J5,0.016759048
TCGA-OR-A5J6,0.189302425
TCGA-OR-A5J7,0.037859018
TCGA-OR-A5J8,0.314571273
TCGA-OR-A5J9,0.031046845
TCGA-OR-A5JA,0.034775692
TCGA-OR-A5JB,0.257026146
TCGA-OR-A5JC,0.075975844
TCGA-OR-A5JD,0.181995726
TCGA-OR-A5JE,0.09800886
TCGA-OR-A5JF,0.093111844
TCGA-OR-A5JG,0.037777925
TCGA-OR-A5JH,NA
TCGA-OR-A5JI,0.178299225
TCGA-OR-A5JJ,0.046054059
TCGA-OR-A5JK,0.281138249
TCGA-OR-A5JL,0.11905082
TCGA-OR-A5JM,0.001251971
TCGA-OR-A5JO,0.303730391
TCGA-OR-A5JP,0.044804237
TCGA-OR-A5JQ,0.229189473
TCGA-OR-A5JR,0.117670812
TCGA-OR-A5JS,0.035720243
TCGA-OR-A5JT,0.046913255
TCGA-OR-A5JU,NA
TCGA-OR-A5JV,0.374965244
TCGA-OR-A5JW,0.056144846
TCGA-OR-A5JX,0.036994112
TCGA-OR-A5JY,0.051240546
TCGA-OR-A5JZ,0.055739945
TCGA-OR-A5K0,0.006609021
TCGA-OR-A5K1,0.095516884
TCGA-OR-A5K2,0.056623077
TCGA-OR-A5K3,0.098496756
TCGA-OR-A5K4,0.022580982
TCGA-OR-A5K5,0.02936731
TCGA-OR-A5K6,0.060397477
TCGA-OR-A5K8,0.026314906
TCGA-OR-A5K9,0.003871355
TCGA-OR-A5KB,NA
TCGA-OR-A5KO,0.014135019
TCGA-OR-A5KP,NA
TCGA-OR-A5KQ,NA
TCGA-OR-A5KS,NA
TCGA-OR-A5KT,0.232337893
TCGA-OR-A5KU,0.074931469
TCGA-OR-A5KV,0.026772257
TCGA-OR-A5KW,0.039859231
TCGA-OR-A5KX,0.020801987
TCGA-OR-A5KY,0.158305594
TCGA-OR-A5KZ,0.020229962
TCGA-OR-A5L1,NA
TCGA-OR-A5L2,NA
TCGA-OR-A5L3,0.148951515
TCGA-OR-A5L4,0.082476293
TCGA-OR-A5L5,0.321994792
TCGA-OR-A5L6,0.06084144
TCGA-OR-A5L8,0.010599341
TCGA-OR-A5L9,0.187685905
TCGA-OR-A5LA,0.246672054
TCGA-OR-A5LB,0.015787835
TCGA-OR-A5LC,0.028218195
TCGA-OR-A5LD,0.010773966
TCGA-OR-A5LE,0.024616804
TCGA-OR-A5LF,NA
TCGA-OR-A5LG,0.047010286
TCGA-OR-A5LH,0.192148271
TCGA-OR-A5LI,NA
TCGA-OR-A5LJ,0.054429169
TCGA-OR-A5LK,0.307473501
TCGA-OR-A5LL,0.072873378
TCGA-OR-A5LM,0.053011964
TCGA-OR-A5LN,0.237653634
TCGA-OR-A5LO,0.018602201
TCGA-OR-A5LP,0.21178683
TCGA-OR-A5LR,0.067290732
TCGA-OR-A5LS,0.051716298
TCGA-OR-A5LT,0.029829824
TCGA-OU-A5PI,0.053674659
TCGA-P6-A5OF,0.043684551
TCGA-P6-A5OG,0.553016943
TCGA-P6-A5OH,NA
TCGA-PA-A5YG,0.298122617
TCGA-PK-A5H8,0.035267446
TCGA-PK-A5H9,0.072411553
TCGA-PK-A5HA,0.135924354
TCGA-PK-A5HB,0.038096904
TCGA-PK-A5HC,NA
TCGA-2F-A9KO,0.456525275
TCGA-2F-A9KP,0.146258775
TCGA-2F-A9KQ,0.040756962
TCGA-2F-A9KR,0.097857422
TCGA-2F-A9KT,0.344664922
TCGA-2F-A9KW,0.188686187
TCGA-4Z-AA7M,0.163028809
TCGA-4Z-AA7N,0.656212542
TCGA-4Z-AA7O,0.144517715
TCGA-4Z-AA7Q,0.511710535
TCGA-4Z-AA7R,0.054466047
TCGA-4Z-AA7S,0.067563575
TCGA-4Z-AA7W,0.530956828
TCGA-4Z-AA7Y,0.056688821
TCGA-4Z-AA80,0.273461105
TCGA-4Z-AA81,0.286686059
TCGA-4Z-AA82,0.150150889
TCGA-4Z-AA83,0.113466766
TCGA-4Z-AA84,0.232477044
TCGA-4Z-AA86,0.501885328
TCGA-4Z-AA87,0.259409719
TCGA-4Z-AA89,0.151420515
TCGA-5N-A9KI,0.112149425
TCGA-5N-A9KM,0.177208971
TCGA-BL-A0C8,0.123274317
TCGA-BL-A13I,0.521747389
TCGA-BL-A13J,0.113694492
TCGA-BL-A3JM,0.150053419
TCGA-BL-A5ZZ,0.300211546
TCGA-BT-A0S7,0.344057463
TCGA-BT-A0YX,0.456947714
TCGA-BT-A20J,0.443680269
TCGA-BT-A20N,0.182737579
TCGA-BT-A20O,0.661803895
TCGA-BT-A20P,0.03720472
TCGA-BT-A20Q,0.219123098
TCGA-BT-A20R,0.215896957
TCGA-BT-A20T,0.144387136
TCGA-BT-A20U,0.360535795
TCGA-BT-A20V,0.169329746
TCGA-BT-A20W,0.275404371
TCGA-BT-A20X,0.325537277
TCGA-BT-A2LA,0.039322464
TCGA-BT-A2LB,0.286018042
