CEMETERY,CONTEXT,SEX,AGE,VALUE
Post-Medieval-Chelsea Old Church,19,FEMALE,gt_46,433
Post-Medieval-Chelsea Old Church,43,MALE,gt_46,444
Post-Medieval-Chelsea Old Church,115,FEMALE,gt_46,410
Post-Medieval-Chelsea Old Church,143,MALE,gt_46,446
Post-Medieval-Chelsea Old Church,147,MALE,gt_46,490
Post-Medieval-Chelsea Old Church,152,FEMALE,gt_46,447
Post-Medieval-Chelsea Old Church,154,MALE?,gt_46,440
Post-Medieval-Chelsea Old Church,274,FEMALE,gt_46,416
Post-Medieval-Chelsea Old Church,407,FEMALE,gt_46,398
Post-Medieval-Chelsea Old Church,432,MALE,gt_46,468
Post-Medieval-Chelsea Old Church,436,FEMALE,gt_46,430
Post-Medieval-Chelsea Old Church,474,FEMALE,gt_46,439
Post-Medieval-Chelsea Old Church,483,FEMALE,gt_46,438
Post-Medieval-Chelsea Old Church,494,MALE,gt_46,474
Post-Medieval-Chelsea Old Church,516,MALE,gt_46,478
Post-Medieval-Chelsea Old Church,523,FEMALE,gt_46,407
Post-Medieval-Chelsea Old Church,525,MALE,gt_46,480
Post-Medieval-Chelsea Old Church,527,MALE,gt_46,446
Post-Medieval-Chelsea Old Church,552,FEMALE,gt_46,423
Post-Medieval-Chelsea Old Church,587,FEMALE,gt_46,417
Post-Medieval-Chelsea Old Church,593,MALE,gt_46,443
Post-Medieval-Chelsea Old Church,635,MALE,gt_46,480
Post-Medieval-Chelsea Old Church,654,MALE,gt_46,416
Post-Medieval-Chelsea Old Church,668,MALE,gt_46,466
Post-Medieval-Chelsea Old Church,697,FEMALE?,gt_46,441
Post-Medieval-Chelsea Old Church,716,FEMALE,gt_46,456
Post-Medieval-Chelsea Old Church,722,FEMALE,gt_46,428
Post-Medieval-Chelsea Old Church,759,MALE,gt_46,450
Post-Medieval-Chelsea Old Church,792,FEMALE,gt_46,420
Post-Medieval-Chelsea Old Church,802,FEMALE,gt_46,434
Post-Medieval-Chelsea Old Church,812,FEMALE,gt_46,420
Post-Medieval-Chelsea Old Church,841,FEMALE,gt_46,445
Post-Medieval-Chelsea Old Church,888,FEMALE,gt_46,442
Post-Medieval-Chelsea Old Church,898,MALE,gt_46,439
Post-Medieval-Chelsea Old Church,948,MALE,gt_46,479
Post-Medieval-Chelsea Old Church,1021,MALE,gt_46,485
Post-Medieval-Chelsea Old Church,1157,MALE,gt_46,461
Post-Medieval-Chelsea Old Church,92,FEMALE,btwn_18_25,400
Post-Medieval-Chelsea Old Church,161,FEMALE,btwn_18_25,437
Post-Medieval-Chelsea Old Church,392,FEMALE,btwn_18_25,429
Post-Medieval-Chelsea Old Church,534,FEMALE,btwn_18_25,405
Post-Medieval-Chelsea Old Church,754,FEMALE,btwn_18_25,451
Post-Medieval-Chelsea Old Church,790,FEMALE?,btwn_18_25,468
Post-Medieval-Chelsea Old Church,232,FEMALE,btwn_26_35,433
Post-Medieval-Chelsea Old Church,258,MALE?,btwn_26_35,408
Post-Medieval-Chelsea Old Church,281,MALE,btwn_26_35,476
Post-Medieval-Chelsea Old Church,507,MALE,btwn_26_35,462
Post-Medieval-Chelsea Old Church,856,MALE,btwn_26_35,408
Post-Medieval-Chelsea Old Church,990,FEMALE?,btwn_26_35,420
Post-Medieval-Chelsea Old Church,1018,MALE,btwn_26_35,442
Post-Medieval-Chelsea Old Church,1059,MALE,btwn_26_35,448
Post-Medieval-Chelsea Old Church,1068,MALE,btwn_26_35,400
Post-Medieval-Chelsea Old Church,18,FEMALE,btwn_36_45,415
Post-Medieval-Chelsea Old Church,20,MALE,btwn_36_45,469
Post-Medieval-Chelsea Old Church,31,FEMALE,btwn_36_45,424
Post-Medieval-Chelsea Old Church,39,FEMALE,btwn_36_45,397
Post-Medieval-Chelsea Old Church,96,FEMALE?,btwn_36_45,436
Post-Medieval-Chelsea Old Church,100,MALE,btwn_36_45,445
Post-Medieval-Chelsea Old Church,104,FEMALE,btwn_36_45,425
Post-Medieval-Chelsea Old Church,261,MALE?,btwn_36_45,448
Post-Medieval-Chelsea Old Church,323,MALE,btwn_36_45,439
Post-Medieval-Chelsea Old Church,339,MALE,btwn_36_45,434
Post-Medieval-Chelsea Old Church,411,MALE,btwn_36_45,427
Post-Medieval-Chelsea Old Church,462,MALE,btwn_36_45,445
Post-Medieval-Chelsea Old Church,583,FEMALE?,btwn_36_45,454
Post-Medieval-Chelsea Old Church,600,FEMALE,btwn_36_45,438
Post-Medieval-Chelsea Old Church,744,MALE,btwn_36_45,422
Post-Medieval-Chelsea Old Church,782,MALE,btwn_36_45,405
Post-Medieval-Chelsea Old Church,810,MALE,btwn_36_45,446
Post-Medieval-Chelsea Old Church,994,MALE,btwn_36_45,484
Post-Medieval-Chelsea Old Church,1023,FEMALE,btwn_36_45,401
Post-Medieval-Chelsea Old Church,1071,MALE?,btwn_36_45,443
